prop_price,prop_title,prop_location,prop_size,number_room
"1,200",Villa,"Al Buraimi, Al Buraimi","1,500 Sq. M.",5
"1,500",Villa,"Qantab, Muscat","1,500 Sq. M.",5
"1,200",Apartment,"Mahut, Al Wusta","1,000 Sq. M.",3
"1,500",Villa,"Al Sifah, Muscat","1,000 Sq. M.",5
"1,000",Villa,"Hamra, Al Dakhiliya","1,000 Sq. M.",4
"120,000",Apartment,"Al Sinainah, Al Buraimi",110 Sq. M.,3
"100,000",Apartment,"Al Duqum, Al Wusta",100 Sq. M.,2
"220,000",Apartment,"Al Duqum, Al Wusta",100 Sq. M.,3
"220,000",Apartment,"Taqah, Dhofar",112 Sq. M.,2
"22,000",Apartment,"Muqshin, Dhofar",112 Sq. M.,2
"2,000",Villa,"Bahla, Al Dakhiliya","1,000 Sq. M.",3
"390,000",Villa,"Muscat Hills, Muscat",471 Sq. M.,3
"81,000",Apartment,"Muscat Hills, Muscat",132 Sq. M.,2
"125,000",Villa,"Al Seeb, Muscat",363 Sq. M.,6
"49,000",Villa,"Barka, Al Batinah",345 Sq. M.,3
"380,000",Villa,"The Wave (Almouj), Muscat",502 Sq. M.,5
"309,000",Villa,"The Wave (Almouj), Muscat",420 Sq. M.,4
"79,999",Villa,"Al Amarat, Muscat",650 Sq. M.,6
"85,000",Apartment,"Al Ghubrah, Muscat",160 Sq. M.,3
"295,000",Villa,"The Wave (Almouj), Muscat",265 Sq. M.,5
"74,000",Villa,"Al Maabilah, Muscat",260 Sq. M.,4
"93,000",Apartment,"The Wave (Almouj), Muscat",107 Sq. M.,1
"67,000",Apartment,"Muscat Hills, Muscat",70 Sq. M.,1
"130,000",Apartment,"The Wave (Almouj), Muscat",149 Sq. M.,2
"85,000",Villa,"Salalah, Dhofar",120 Sq. M.,2
"496,000",Villa,"Qantab, Muscat",769 Sq. M.,3
"442,300",Villa,"Qantab, Muscat",769 Sq. M.,4
"59,000",Villa,"Al Amarat, Muscat",178 Sq. M.,3
"195,000",Apartment,"The Wave (Almouj), Muscat",235 Sq. M.,3
"116,500",Villa,"Sultan Haitham City, Muscat",194 Sq. M.,3
"111,700",Villa,"Sultan Haitham City, Muscat",194 Sq. M.,3
"121,200",Villa,"Sultan Haitham City, Muscat",205 Sq. M.,3
"325,000",Villa,"Muscat Hills, Muscat",423 Sq. M.,4
"55,000",Apartment,"Al Sifah, Muscat",59 Sq. M.,1
"198,000",Apartment,"The Wave (Almouj), Muscat",200 Sq. M.,3
"98,000",Villa,"Al Seeb, Muscat",300 Sq. M.,7
"350,000",Villa,"Muscat - Other, Muscat",460 Sq. M.,4
"88,000",Apartment,"Muscat Hills, Muscat",105 Sq. M.,1
"85,034",Apartment,"Yiti, Muscat",79 Sq. M.,1
