prop_price,prop_title,prop_location,prop_size
"79,000 OMR",72 m2 Studio Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",72 m2 Studio Apartments for Sale in Muscat Al Mouj
"8,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"67,000 OMR",416 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",416 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"6,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"43,000 OMR",92 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",92 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh
"48,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"5,800 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"573,300 OMR",455 m2 5 Bedrooms Villa for Sale in Muscat Al Mouj,"Muscat, Al Mouj",455 m2 5 Bedrooms Villa for Sale in Muscat Al Mouj
"7,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"39,200 OMR",112 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",112 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh
"250,000 OMR","Brand-New 5-Bedroom Villa for Sale in Al Muna, Bosher, Muscat, Oman– OMR 250,000","Muscat, Bosher","Brand-New 5-Bedroom Villa for Sale in Al Muna, Bosher, Muscat, Oman– OMR 250,000"
"125,000 OMR",110 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",110 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj
"45,000 OMR",118 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,"Muscat, Bosher",118 m2 3 Bedrooms Apartments for Sale in Muscat Bosher
"950,000 OMR",Building for Sale in Muscat Ghala,"Muscat, Ghala",Building for Sale in Muscat Ghala
"31,000 OMR",77 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",77 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"29,000 OMR",52 m2 Studio Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",52 m2 Studio Apartments for Sale in Muscat Al Mawaleh
"100,000 OMR",320 m2 5 Bedrooms Villa for Sale in Muscat Quriyat,"Muscat, Quriyat",320 m2 5 Bedrooms Villa for Sale in Muscat Quriyat
"57,000 OMR",129 m2 3 Bedrooms Apartments for Sale in Muscat Ghala,"Muscat, Ghala",129 m2 3 Bedrooms Apartments for Sale in Muscat Ghala
"85,000 OMR",Industrial Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Industrial Land for Sale in Al Dakhiliya Sumail
"48,000 OMR",فرصة قوية محل بمساحة كبيرة جدا في الأنصب للبيع ب 48 ألف بعائد هو الأفضل في السوق,"Muscat, Ansab",فرصة قوية محل بمساحة كبيرة جدا في الأنصب للبيع ب 48 ألف بعائد هو الأفضل في السوق
"75,000 OMR",3 Bedrooms Farms for Sale in Al Sharqiya Sur,"Al Sharqiya, Sur",3 Bedrooms Farms for Sale in Al Sharqiya Sur
"37,000 OMR",Farm Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Farm Land for Sale in Al Batinah Al Masnaah
"75,000 OMR",320 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",320 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"19,000 OMR",فرصة لا تكرر ! امتلك محلك في قلب صلالة بقسط شهري يبدأ من 165 ر.ع فقط وعائد استثماري يتجاوز 11% سنويا,"Dhofar, Salala",فرصة لا تكرر ! امتلك محلك في قلب صلالة بقسط شهري يبدأ من 165 ر.ع فقط وعائد استثماري يتجاوز 11% سنويا
"85,000 OMR",322 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",322 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"51,000 OMR",102 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail,"Muscat, Al-Hail",102 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail
"32,000 OMR",91 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,"Dhofar, Salala",91 m2 2 Bedrooms Apartments for Sale in Dhofar Salala
"295,000 OMR",695 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",695 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh
"39,353 OMR",304 m2 5 Bedrooms Villa for Sale in Al Batinah Sohar,"Al Batinah, Sohar",304 m2 5 Bedrooms Villa for Sale in Al Batinah Sohar
